Year,Anomaly,Region
193807,-0.22,africa
193808,-0.1,africa
193809,-0.16,africa
193810,-0.24,africa
193811,-0.54,africa
193812,0.04,africa
193901,0.1,africa
193902,-0.49,africa
193903,-0.53,africa
193904,-0.82,africa
193905,-0.11,africa
193906,-0.33,africa
193907,0.09,africa
193908,-0.01,africa
193909,0.1,africa
193910,0.3,africa
193911,-0.13,africa
193912,0.64,africa
194001,0.33,africa
194002,0.12,africa
194003,-0.26,africa
194004,-0.07,africa
194005,0.25,africa
194006,0.04,africa
194007,-0.03,africa
194008,0.06,africa
194009,0.14,africa
194010,0.33,africa
194011,-0.19,africa
194012,0.09,africa
194101,0.64,africa
194102,0.55,africa
194103,0.6,africa
194104,0.47,africa
194105,0.3,africa
194106,0.14,africa
194107,0.39,africa
194108,0.52,africa
194109,0.02,africa
194110,0.31,africa
194111,0.34,africa
194112,0.06,africa
194201,0.15,africa
194202,0.64,africa
194203,0.22,africa
194204,0.52,africa
194205,0.02,africa
194206,0.38,africa
194207,0.0,africa
194208,-0.2,africa
194209,-0.05,africa
194210,-0.14,africa
194211,0.33,africa
194212,0.12,africa
194301,-0.03,africa
194302,-0.52,africa
194303,-0.45,africa
194304,-0.56,africa
194305,-0.45,africa
194306,-0.53,africa
194307,-0.2,africa
194308,-0.41,africa
194309,-0.33,africa
194310,0.38,africa
194311,-0.07,africa
194312,0.33,africa
194401,-0.46,africa
194402,-0.33,africa
194403,-0.38,africa
194404,-0.07,africa
194405,-0.4,africa
194406,0.18,africa
194407,0.11,africa
194408,0.18,africa
194409,-0.2,africa
194410,0.26,africa
194411,0.19,africa
194412,0.4,africa
194501,0.23,africa
194502,-0.44,africa
194503,-0.54,africa
194504,0.28,africa
194505,-0.31,africa
194506,-0.29,africa
194507,-0.01,africa
194508,0.09,africa
194509,-0.03,africa
194510,-0.21,africa
194511,0.21,africa
194512,-0.03,africa
194601,0.39,africa
194602,-0.1,africa
194603,-0.02,africa
194604,-0.07,africa
194605,0.04,africa
194606,-0.16,africa
194607,-0.14,africa
194608,-0.45,africa
194609,-0.01,africa
194610,-0.07,africa
194611,0.36,africa
194612,-0.05,africa
194701,0.06,africa
194702,0.85,africa
194703,0.33,africa
194704,-0.01,africa
194705,-0.19,africa
194706,0.05,africa
194707,-0.09,africa
194708,0.1,africa
194709,-0.07,africa
194710,0.05,africa
194711,0.17,africa
194712,0.11,africa
